카테고리,순위,제목,저자,출판사,가격,써머리,2030 추천사
2030_소설,1,괴테는 모든 것을 말했다,스즈키 유이,리프,15300,"23세 아쿠타가와상 수상. 언어/문학/사랑의 본질 탐구. 7주 연속 1위. 평점 8.0","23살 작가가 쓴 이 소설은 우리가 잊고 살았던 언어의 힘을 일깨운다. SNS의 짧은 문장에 익숙해진 우리에게, 한 문장이 삶을 바꿀 수 있다는 걸 보여준다. 7주 연속 1위는 괜히 된 게 아니다. 읽고 나면 괴테를 찾게 되고, 문학이 왜 필요한지 체감하게 된다. 올해 딱 한 권만 읽는다면 이 책이다."
2030_소설,2,자몽살구클럽,한로로,어센틱,10800,"네 여중생이 20일간 살아갈 이유를 찾는 이야기. 1시간 완독. 동명 EP와 세계관 연결.","1시간이면 다 읽는다. 그런데 덮고 나면 한참을 멍하게 앉아 있게 된다. 살고 싶은 이유를 찾는 네 명의 이야기가 너무 현실적이라서. 싱어송라이터 한로로의 EP와 함께 들으면 세계관이 확장된다. 힘든 하루를 보낸 날, 이 작은 책이 당신의 20일을 바꿔줄지도 모른다."
2030_소설,3,프로젝트 헤일메리,앤디 위어,RHK,19800,"외계 생명체 록키와의 우정+과학적 문제 해결. 30개국 1위. 평점 9.4","SF를 안 좋아해도 상관없다. 이건 우정 이야기다. 기억을 잃은 채 우주에서 깨어난 평범한 과학교사가, 외계인 록키와 함께 지구를 구한다. 과학이 이렇게 재미있을 수 있다니. 읽는 내내 웃고, 마지막엔 운다. 빌 게이츠와 오바마가 추천한 이유를 알게 될 것이다. 영화 나오기 전에 꼭 읽어라."
2030_소설,4,나의 완벽한 장례식,조현선,북로망스,17100,"병원 매점에 찾아오는 죽은 영혼들의 부탁. 따뜻한 판타지.","새벽 병원 매점에서 시작되는 이 이야기는, 죽음을 다루면서도 슬프지 않다. 오히려 따뜻하다. 떠나지 못한 영혼들의 마지막 부탁을 들어주는 스무 살 나희를 보며, 지금 살아있는 우리의 관계를 돌아보게 된다. 마지막 페이지를 덮고도 한참 온기가 남는 소설."
2030_소설,5,혼모노,성해나,창비,16200,"진짜란 무엇인가를 묻는 단편집. 젊은작가상+이효석문학상.","가짜가 넘쳐나는 시대에, 진짜란 뭘까? 신이 떠난 무당은 가짜일까? 이 단편집은 우리가 당연하게 여겼던 진짜와 가짜의 경계를 뒤흔든다. 젊은작가상+이효석문학상을 동시에 받은 건 이유가 있다. 날카롭지만 유머러스하고, 짧지만 오래 남는다."
2030_소설,6,안녕이라 그랬어,김애란,문학동네,15120,"이별과 상실 속 삶을 이어가는 인물들. 섬세한 문장.","누군가에게 이별을 고한 적 있다면, 이 책은 당신을 위한 것이다. 김애란은 한국어로 슬픔을 가장 아름답게 쓰는 작가다. 거창한 사건 없이, 일상의 작은 균열을 통해 마음을 건드린다. 읽고 나면 위로받았다는 느낌보다, 이해받았다는 느낌이 든다."
2030_소설,7,죽은 왕녀를 위한 파반느,박민규,위즈덤하우스,18000,"한국 소설 문체의 기념비적 연작. 양장 특별판.","한국어가 이렇게 아름다울 수 있다는 걸 보여주는 소설. 박민규만의 독특한 문체는 중독성이 있다. 슬프고 아름답고 기묘한 이 연작을 읽으면, 왜 이 책이 수십 년간 사랑받는지 알게 된다. 양장 특별판으로 소장 가치까지 높다."
2030_소설,8,시간관리국,캘리앤 브래들리,비채,17820,"시간 관리 비밀 기관 배경 로맨스 판타지.","시간을 되돌릴 수 있다면? 시간관리국이라는 비밀 기관을 배경으로 펼쳐지는 로맨스 판타지. 가볍게 읽기 좋으면서도 시간의 의미를 생각하게 만든다. 바쁜 일상에 지친 2030에게 달콤한 탈출구."
2030_소설,9,약속의 세대,백온유,문학동네,16200,"세대 간 약속과 연대. 문학동네 신예.","세대 간 약속이라는 주제를 이렇게 풀어내다니. 문학동네가 주목하는 신예 백온유의 소설은, MZ세대가 부모 세대와 맺는 관계에 대해 새로운 질문을 던진다. 지금 읽어야 하는 이유? 우리가 바로 그 약속의 세대이기 때문이다."
2030_소설,10,모순,양귀자,쓰다,11700,"25세 여성의 모순투성이 삶. 1998년작 26년째 역주행.","1998년에 나온 소설이 왜 아직도 팔릴까? 25살 여성의 연애와 결혼 고민이 26년이 지나도 똑같기 때문이다. 모순투성이 삶을 이해하고 싶다면, 세련된 문체에 빠져들고 싶다면, 하루만에 완독하는 이 소설을 펼쳐라. 역주행에는 이유가 있다."
2030_경제,1,연금 부자 수업,박곰희,인플루엔셜,18900,"4개 절세 통장으로 월 300만원. 4% 룰. 투자 초보 OK.","20대에 연금? 이르다고? 아니, 빠를수록 유리하다. 95만 유튜버 박곰희가 4개 통장으로 월 300만원 만드는 로드맵을 구체적으로 알려준다. 월 50만원부터 시작 가능. 복잡한 금융 용어 없이, 진짜 따라할 수 있는 연금 가이드. 노후 불안을 해소하는 첫걸음."
2030_경제,2,코스피 1만 넥스트 레벨,박시동,지와인,19800,"코스피 1만 시대 투자 전략. 생활 언어 실전서.","코스피가 6000을 넘었다. 1만 시대가 온다면 어떻게 투자해야 할까? 설명 천재 박시동 소장이 어려운 투자 이론을 생활 언어로 풀어낸다. 종목 선택부터 포트폴리오 관리까지, 원칙 있는 투자를 시작하고 싶은 2030의 실전 교과서."
2030_경제,3,돈의 방정식,모건 하우절,서삼독,25200,"부=가진 것-원하는 것. 돈의 심리학 후속.","돈의 심리학을 읽었다면 이건 필수다. 안 읽었어도 괜찮다. 부=가진 것-원하는 것이라는 단순한 공식이 돈에 대한 생각을 완전히 바꿔준다. 더 많이 버는 것보다 현명하게 쓰는 법이 중요한 시대. 돈을 도구로 쓸 줄 아는 어른이 되고 싶다면."
2030_경제,4,환율의 대전환,오건영,,,"환율과 자산. 부의 대이동 후속. 30대 남성 1위.","달러 환율이 왜 중요한지 모르겠다면, 이 책을 읽어야 할 이유가 더 크다. 부의 대이동 50만 독자가 기다린 오건영의 신작. 환율 변동 하나가 내 월급의 실질 가치를 바꾼다. 30대 남성 독자 1위인 데는 이유가 있다. 거시경제 입문의 정석."
2030_경제,5,자본주의 시대 최소한의 경제 공부,백억남,하이스트,25200,"자본주의 구조와 돈의 흐름 입문.","경제 뉴스가 외국어처럼 들린다면 여기서 시작하자. 백억남이 자본주의의 작동 원리를 쉽게 풀어준다. 금리가 오르면 왜 집값이 변하는지, 내 월급은 왜 안 오르는지. 돈의 흐름을 읽는 눈이 생기면 세상이 다르게 보인다."
2030_경제,6,"1,000만원으로 월배당 300만원",인생업,경이로움,20700,"소액 월배당 포트폴리오 구축. 종목/비율 안내.","1000만원으로 월 300만원? 과장이 아니라 복리와 시간의 마법이다. 구체적 종목과 비율까지 알려주는 실전형. 월급 외 현금흐름을 만들고 싶은 2030이라면, 이 책의 포트폴리오를 따라해보는 것부터."
2030_경제,7,나의 첫 월배당 ETF,김정란,토네이도,19800,"ETF 입문~포트폴리오 구성.","주식은 무서운데 ETF는 뭔지 모르겠다? 이 책이 딱이다. 월배당 ETF 선택법부터 포트폴리오까지 초보자 눈높이에 맞춘 가이드. 적은 돈으로 시작해서 매달 배당금 받는 구조를 만드는 첫걸음."
2030_경제,8,박태웅의 AI 강의 2026,박태웅,한빛비즈,20700,"AI 시대 비즈니스 트렌드 해설.","AI가 내 일자리를 대체할까 걱정만 하고 있다면, 걱정 대신 이 책을 읽어라. 에이전틱 AI, 피지컬 AI 등 2026 최신 트렌드를 비즈니스 관점에서 해설한다. AI 시대에 살아남는 건 기술을 아는 사람이 아니라, 변화를 읽는 사람이다."
2030_경제,9,진보를 위한 주식투자,이광수,21세기북스,19800,"가치관과 투자의 양립.","투자하면서 양심의 가책을 느낀 적 있는가? 진보적 가치관과 투자는 양립할 수 있다. 사회적 책임 투자라는 새로운 관점으로, 돈을 벌면서도 세상을 바꾸는 방법을 알려준다. 가치와 수익의 공존을 고민하는 2030에게."
2030_경제,10,트렌드 코리아 2026,김난도 외,미래의창,,"2026 소비 키워드 10가지. 5주 연속 1위.","매년 연초에 이 책을 안 읽으면 1년이 불안하다는 마케터들이 있다. 서울대 소비트렌드 분석센터가 짚어내는 올해의 키워드 10가지. 취준생이든 현직자든, 소비 트렌드를 알면 기회가 보인다. 기획서에 인용하기에도 최적."
2030_자기계발,1,완벽한 원시인,자청,필로틱,19800,"15개 뇌 리셋 버튼 5단계. 역행자 후속. 출간 즉시 1위.","역행자 100만부의 자청이 4년 만에 돌아왔다. 이번엔 성공법이 아니라 작동법이다. 우리 뇌는 10만 년 전 설계인데 환경만 바뀌었다는 것. 수면/호흡/걷기 같은 기본부터 리셋하면 의지력 없이도 상태가 바뀐다. 번아웃된 2030에게 가장 필요한 처방전."
2030_자기계발,2,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,17820,"거인들의 통찰로 삶의 중심 세우기.","틱톡과 릴스에 익숙해진 우리의 사고력은 점점 얕아지고 있다. 이 책은 에픽테토스부터 쇼펜하우어까지 거인들의 통찰을 빌려, 삶의 중심을 세우는 최소한의 생각법을 제안한다. 풍요롭지만 공허한 시대를 사는 2030에게 의미 있는 삶의 좌표."
2030_자기계발,3,생각의 도약,도야마 시게히코,페이지2,16200,"사고의 틀을 깨는 기술.","아이디어가 안 나오는 건 재능 부족이 아니라 사고법의 문제다. 일본 사고력 전문가가 기존 틀을 깨는 구체적 기술을 알려준다. 기획서/보고서/콘텐츠를 만드는 2030 직장인이라면, 이 책이 당신의 아웃풋을 한 단계 올려줄 것이다."
2030_자기계발,4,집중력 죽이기,마크 티흐헬라르 외,서삼독,17100,"디지털 시대 집중력 회복. 딥워크 전략.","스마트폰 알림 하나에 집중이 깨진 경험? 매일이겠지. 이 책은 산만한 디지털 시대에 집중력을 되찾는 과학적 방법을 알려준다. 멀티태스킹이 왜 함정인지, 딥워크가 왜 필요한지. 하루 2시간의 집중이 8시간의 산만함을 이긴다."
2030_자기계발,5,쓰는 만큼 내가 된다,리니,더퀘스트,16200,"글쓰기로 자기 발견.","브런치/블로그/일기/메모. 뭐든 좋다. 매일 쓰는 습관이 나를 만든다는 걸 이 책이 보여준다. 거창한 글쓰기가 아니라, 나를 발견하는 글쓰기. 기록하는 습관을 가진 사람과 아닌 사람의 차이는 시간이 지날수록 벌어진다."
2030_자기계발,6,아주 작은 습관의 힘,제임스 클리어,비즈니스북스,16200,"매일 1% 복리 습관. 4단계 법칙. 전 세계 1500만부.","매일 1%만 나아지면 1년 후 37배가 된다. 과장이 아니라 복리의 수학이다. 습관의 4단계(신호-열망-반응-보상)를 이해하면, 의지력 없이도 좋은 습관이 자동으로 작동한다. 전 세계 1500만부에는 이유가 있다. 인생 책으로 꼽는 사람이 가장 많은 자기계발서."
2030_자기계발,7,렛뎀 이론,멜 로빈스,비즈니스북스,18000,"타인 통제 멈추기. 비교/두려움/의심 극복.","직장 상사가 날 안 알아줘서, 친구가 연락을 안 해서, 부모님이 이해를 못 해서 스트레스받는다면. 렛뎀. 그냥 놔둬라. 타인은 내가 통제할 수 있는 대상이 아니다. 이 단순한 깨달음 하나가 인간관계 스트레스를 확 줄여준다. 에너지를 나에게 쓰자."
2030_자기계발,8,더 시스템,스콧 애덤스,베리북,16200,"목표 대신 시스템. 딜버트 창시자의 역발상.","목표를 세우지 마라. 시스템을 세워라. 살 10kg 빼기는 목표고, 매일 30분 걷기는 시스템이다. 딜버트 만화를 만든 스콧 애덤스의 역발상 성공론. 목표에 집착하다 지친 2030에게, 매일의 시스템이 결국 인생을 바꾼다는 진짜 이야기."
2030_자기계발,9,딱 1년만 미쳐라,리치파카,모티브,17820,"1년 몰입으로 인생 전환.","지금 뭘 해야 할지 모르겠다면, 딱 1년만 미쳐봐라. 방향은 나중에 정해도 된다. 일단 몰입의 경험이 있어야 방향이 보인다. 이 책은 동기부여에서 끝나지 않고 실천 전략까지 준다. 행동력이 부족한 게 아니라 시작의 용기가 부족한 거다."
2030_자기계발,10,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"좌뇌 해석자의 자아 환상. 뇌과학 자기이해.","내가 내린 결정이 정말 내 결정이었을까? 좌뇌의 해석자가 만들어낸 이야기에 속고 있었을지도 모른다. 뇌과학으로 나의 작동 원리를 이해하면, 불필요한 불안과 자기 비난에서 벗어날 수 있다. 자기 이해의 새로운 차원을 열어주는 책."
2030_에세이,1,엄마와 딸들의 미친년의 역사,이랑,이야기장수,16020,"언니의 소진사에서 출발한 여성 가족사. 종합 4위. 역수입.","이 책은 내 가족의 이야기일 수도 있다. 가난과 폭력과 침묵 속에서 소진되어간 여성들의 역사. 이랑은 언니의 죽음을 자살이 아닌 소진사라 부른다. 일본과 대만에서 먼저 출간된 후 역수입된 건, 이 이야기가 한국만의 것이 아니기 때문이다. 슬픔이면서 동시에 사랑의 기록."
2030_에세이,2,사랑이 있으니 살아집디다,"유시민, 김세라",은빛,16200,"유시민과 딸의 세대를 넘는 대화.","아버지와 딸이 삶과 사랑과 죽음에 대해 이렇게 솔직하게 대화할 수 있다니. 같은 주제를 다른 세대의 눈으로 풀어내는 두 사람의 대화가, 우리 가족과의 관계를 돌아보게 만든다. 부모님과 대화가 어려운 2030에게 다리가 되어줄 책."
2030_에세이,3,정답은 있다,이정효,다산북스,16200,"축구 감독의 리더십+인생 철학.","축구를 몰라도 괜찮다. 이 책은 리더십과 인생에 대한 이야기다. 수원 삼성 감독 이정효의 직설적 화법은 빙빙 돌리지 않는다. 방황하는 2030에게 정답은 있다는 확신을 주는 책. 스포츠를 넘어 삶의 방향을 묻는다."
2030_에세이,4,느슨한 균형,쑥,위즈덤하우스,17100,"완벽하지 않아도 괜찮다. 일상의 위안.","완벽해야 한다는 강박에 지친 적 있다면. 이 에세이는 느슨해도 괜찮다고, 적당히 균형 잡으면 된다고 말해준다. 사회가 요구하는 완벽함과 내가 원하는 편안함 사이에서 적절한 지점을 찾아가는 이야기. 숨 좀 쉬고 싶은 2030에게."
2030_에세이,5,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,16200,"행복=과정. 일상의 작은 행복. 누적 10만부.","행복은 성취가 아니라 과정이라는 문장에 마음이 멈췄다면, 이 책은 당신 것이다. 거창한 성공이 아니라 일상의 작은 순간에서 행복을 발견하는 법. 10만부 팔린 건 그만큼 많은 사람이 이 위로가 필요했다는 뜻이다. 올해 가장 많이 선물된 책."
2030_에세이,6,쓰는 만큼 내가 된다,리니,더퀘스트,16200,"쓰는 습관이 나를 만든다.","인스타 스토리 말고, 나만을 위한 글을 써본 적 있는가? 매일 쓰는 습관은 자기 발견의 가장 강력한 도구다. 이 책은 거창한 작가 되기가 아니라, 글쓰기를 통해 나를 알아가는 과정을 담았다. 기록하는 사람은 결국 방향을 찾는다."
2030_에세이,7,불안,알랭 드 보통,은행나무,16200,"지위 불안의 철학적 탐구.","남들은 다 잘 사는 것 같고, 나만 뒤처진 것 같은 불안. 알랭 드 보통은 이 감정의 뿌리를 철학적으로 파고든다. SNS 시대에 더 심해진 비교 불안의 정체를 이해하면, 조금은 자유로워진다. 20년 전에 쓰인 책인데 지금 읽어야 할 이유가 더 많아졌다."
2030_에세이,8,어른의 행복은 조용하다,태수,페이지2,16020,"단단한 일상적 행복.","화려하지 않아도 단단한 행복이 있다. 이 에세이는 조용히 자기만의 행복을 쌓아가는 어른의 이야기다. 20대의 열정이 지나고, 30대의 현실이 찾아올 때 필요한 책. 성숙한 행복이란 뭔지 알고 싶다면."
2030_에세이,9,구원에게,정영욱,부크럼,16200,"사랑/이별/일상의 감성 에세이.","사랑하고 이별하고 다시 일상으로 돌아오는 감정의 결을 잔잔하게 따라가는 에세이. 큰 위로가 아니라 작은 공감이 필요한 밤에 펼치기 좋다. 감성 에세이의 스테디셀러인 데는 이유가 있다."
2030_에세이,10,소년과 두더지와 여우와 말,찰리 맥커시,상상의힘,19800,"네 친구의 인생 대화. 그림+글 힐링. 1000만부.","가장 용감한 것은 도움을 구하는 것이다. 이 한 문장에 울었다는 후기가 수천 개다. 그림과 글이 함께하는 이 작은 책은, 전 세계 1000만 명의 마음을 어루만졌다. 5분이면 읽지만 평생 기억에 남는다. 힘든 친구에게 선물하기 최적."
2030_인문,1,살면서 한번은 벽돌책,장강명,글항아리,17550,"벽돌책 100권 감상록. 고전 입문 가이드.","유튜브 요약본으로 책을 대신하고 있다면, 이 책이 경종을 울린다. 700쪽짜리 고전을 읽어야 하는 이유는 중단 없는 연속적 사유 때문이다. 장강명이 10년간 벽돌책 100권을 읽으며 얻은 통찰. 고전이 어렵다면 이 책부터 시작하라. 어떤 벽돌책을 먼저 읽을지 알려준다."
2030_인문,2,위버멘쉬,니체,RISE(떠오름),16020,"니체의 초인 사상. 낙타-사자-어린이 3단계.","남들이 정한 기준에 맞춰 살다 지쳤다면, 니체를 읽을 때다. 순종하는 낙타에서, 반항하는 사자로, 다시 새롭게 창조하는 어린이로. 니체가 말한 위버멘쉬는 초인이 아니라 자기 삶의 가치를 스스로 만드는 사람이다. 삶을 놀이처럼 긍정하는 법."
2030_인문,3,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"좌뇌 해석자의 자아 환상.","내가 나라고 믿는 것이 뇌가 만든 이야기일 수 있다. 좌뇌의 해석자가 끊임없이 스토리를 지어내고 있다는 사실을 알면, 불필요한 자기 비난과 불안에서 벗어날 수 있다. 심리학보다 깊고, 철학보다 실용적인 뇌과학 자기이해서."
2030_인문,4,사피엔스,유발 하라리,김영사,24120,"인류 25만년 3대 혁명. 2500만부.","이 책을 안 읽었다면, 교양의 가장 큰 구멍 하나를 메울 기회다. 인류 25만 년의 역사를 인지혁명/농업혁명/과학혁명으로 관통하는 시야. 읽고 나면 뉴스가 다르게 보이고, 세상이 다르게 읽힌다. 2500만부가 팔린 데는 이유가 있다."
2030_인문,5,사랑의 기술,에리히 프롬,문예출판사,15300,"사랑은 감정이 아닌 기술. 보호/책임/존경/지식.","연애가 안 되는 게 상대 탓이라고? 프롬은 사랑이 감정이 아니라 기술이라고 말한다. 보호/책임/존경/지식 4가지를 갖춰야 진정한 사랑이 가능하다. 1956년에 쓰인 책인데 틴더 시대에 더 절실하다. 연애/결혼 전에 반드시 읽어야 할 책."
2030_인문,6,인류학자처럼 생각하는 법,매슈 엥글키,오월의봄,23400,"인류학적 사고로 세상을 새롭게.","당연한 것을 당연하지 않게 보는 힘. 인류학자의 시선으로 세상을 보면, 익숙한 일상이 낯설어지고 새로운 질문이 생긴다. 마케터/기획자/크리에이터라면 이 사고법이 당신의 무기가 될 수 있다."
2030_인문,7,빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,청아출판사,10800,"나치 수용소 생존 증언. 1200만부.","삶의 의미를 찾는 자는 어떤 고통도 견딘다. 나치 수용소에서 살아남은 정신과 의사의 증언은 70년이 지나도 유효하다. 인생의 벽에 부딪혔을 때, 의미를 잃었을 때, 이 책은 바닥에서 올려다보는 빛이 된다. 1200만부의 무게."
2030_인문,8,쾌적한 사회의 불쾌함,구마시로 도루,생각지도,18900,"편리한 사회의 숨은 불쾌함.","배달 앱으로 30분 만에 음식이 오고, 버튼 하나로 모든 게 해결되는 시대. 그런데 왜 불쾌함은 줄지 않을까? 편리함 뒤에 숨은 사회 구조의 문제를 꼬집는다. 쾌적함에 중독된 우리 세대가 꼭 읽어야 할 사회철학서."
2030_인문,9,정의란 무엇인가,마이클 샌델,와이즈베리,16200,"하버드 명강의. 300만부.","하버드에서 가장 인기 있는 강의를 책으로. 공리주의/자유주의/공동체주의를 넘나드는 정의 논쟁이 이렇게 재미있을 수 있다. 300만부 팔린 교양서의 정석. 면접 준비든, 세상 이해든, 한 번은 읽어야 하는 책."
2030_인문,10,니체의 초월자,니체,히읏,15210,"니체 원전 핵심 입문.","위버멘쉬가 좋았다면 이 책으로 한 단계 더. 니체 원전의 핵심만 추린 입문서로, 자기 극복과 초월의 철학을 더 깊이 파고든다. 두 권을 함께 읽으면 니체가 왜 150년이 지나도 읽히는지 이해하게 된다."
북스톤,1,영한 인생 사전,박솔미,북스톤,16920,"영어 단어로 풀어낸 인생 에세이. 2026년 3월 신간.","사전처럼 A부터 Z까지, 영어 단어 하나하나에 인생의 의미를 담았다. 영어 공부가 아니라 삶의 공부다. 익숙한 단어가 낯선 의미로 다가올 때, 인생도 새롭게 읽힌다. 북스톤의 감성과 깊이가 담긴 2026 신간."
북스톤,2,두 번째 지능,김상균,북스톤,21600,"AI를 도구가 아닌 두 번째 지능으로. 2026년 2월 신간.","AI를 잘 쓰는 게 아니라 AI와 협업하는 시대. 경희대 김상균 교수가 말하는 두 번째 지능은 AI를 도구가 아닌 파트너로 삼으라는 것이다. 질문하는 능력과 실행을 통한 문제 해결이 핵심. AI 시대 내 역할을 재정의하고 싶은 2030 필독."
북스톤,3,새들이 전하는 짧은 철학,"필리프 J. 뒤부아, 엘리즈 루소",북스톤,15300,"조류학자가 풀어낸 22편의 삶의 단상. 2026년 2월 신간.","날아오를 땐 날고 멈출 땐 기다리는 새들의 삶에서 인생의 지혜를 배운다. 조류학자의 시선으로 풀어낸 22편의 단상은, 바쁘게만 달리는 우리에게 멈춤의 가치를 일깨운다. 삶의 무게를 덜어내는 작고 아름다운 철학서."
북스톤,4,진짜 매출을 부르는 회계 감각,"김성호, 송승훈",북스톤,18000,"숫자로 비즈니스를 읽는 법. 2026년 2월 신간.","회계는 경리부서만의 일이 아니다. 매출/비용/이익의 흐름을 읽으면 비즈니스의 본질이 보인다. 창업을 꿈꾸든 직장에서 성과를 내고 싶든, 숫자 감각이 무기가 되는 시대. 회계가 어려웠던 2030에게 실전 감각을 심어주는 책."
북스톤,5,2026 트렌드 노트,박현영 외,북스톤,18000,"2026 트렌드 키워드 분석. 2025년 9월 출간.","트렌드 코리아와 다른 시각으로 2026을 읽는다. 현장 전문가 7인이 각 분야의 트렌드를 짚어내는 실전형 트렌드서. 마케터/기획자/창업가에게 트렌드 코리아와 함께 읽으면 시야가 두 배로 넓어진다."
북스톤,6,실패를 통과하는 일,박소령,북스톤,18000,"퍼블리 창업자 10년간의 실패 기록. 2025년 9월 출간.","유니콘 성공담이 아니다. 퍼블리 창업자가 10년간 겪은 잘못된 선택과 결과를 가감 없이 기록했다. 실패를 두려움이 아닌 성찰의 기회로 바꾸는 법. 창업을 꿈꾸거나 커리어 전환을 고민하는 2030에게 가장 솔직한 선배의 이야기."
북스톤,7,감각의 설계자들,김양아,북스톤,20700,"유럽 미래 소비 비즈니스 32개 사례. 2025년 9월 출간.","제품의 시대는 끝났다. 감각의 시대가 왔다. 파리의 미식/런던의 리테일/LVMH의 전략까지, 유럽 현장에서 직접 발견한 32개 사례로 미래 소비의 구조를 보여준다. 마케터/공간기획자/브랜드 담당자라면 반드시 읽어야 할 영감의 원천."
북스톤,8,가장 젊은 날의 철학,이충녕,북스톤,16920,"실존주의 철학으로 답하는 삶의 질문. 2024년 11월 출간.","나를 제대로 바라보는 법은? 실패를 극복하려면? 실존주의 철학이 이렇게 실용적일 수 있다. 지금이 가장 젊은 날이라는 사실을 깨달으면, 철학은 더 이상 고리타분하지 않다. 삶의 질문 앞에서 방황하는 2030을 위한 철학 입문서."
북스톤,9,좋은 기분,박정수(녹싸),북스톤,15300,"아이스크림 가게 사장의 접객 철학. 2024년 1월 출간.","서울 염리동 아이스크림 가게 녹기 전에의 사장이 쓴 접객 가이드가 책이 됐다. 제품이 아니라 좋은 기분을 판다는 철학. 사람만이 줄 수 있는 의미 있는 환대란 무엇인가. 서비스업 종사자뿐 아니라 모든 관계에 적용되는 태도의 책."
북스톤,10,2025 트렌드 노트,신예은 외,북스톤,16200,"2025 트렌드 키워드. 2024년 10월 출간.","2026 트렌드 노트의 전작. 현장 전문가들이 짚어낸 2025 트렌드 키워드 분석. 지난 1년을 복기하고 올해 트렌드와 비교하면, 변화의 방향이 더 선명하게 보인다. 트렌드를 읽는 눈을 키우고 싶다면 시리즈로 읽기를 추천."
